Date,Open,High,Low,Close,Volume
2021-11-10,173.055,173.055,173.05,173.05,300
2021-11-10,173.08,173.08,173.08,173.08,103
2021-11-10,173.08,173.08,173.08,173.08,103
2021-11-10,173.08,173.08,173.08,173.08,100
2021-11-10,173.06,173.06,173.06,173.06,299
2021-11-10,173.05,173.05,173.045,173.045,204
2021-11-10,173.045,173.045,173.045,173.045,215
2021-11-10,173,173,173,173,110
2021-11-10,173.02,173.02,173.015,173.015,304
2021-11-10,173.04,173.04,173.01,173.01,433
2021-11-10,173.05,173.16,173.05,173.16,868
2021-11-10,173.27,173.37,173.27,173.37,1183
2021-11-10,173.3,173.3,173.3,173.3,106
2021-11-10,173.16,173.16,173.16,173.16,100
2021-11-10,173.14,173.14,173.14,173.14,100
2021-11-10,173,173,173,173,801
2021-11-10,173.05,173.09,173.05,173.09,567
2021-11-10,173.105,173.11,173.105,173.11,200
2021-11-10,173,173,173,173,200
2021-11-10,173.03,173.04,172.99,173.04,803
2021-11-10,172.99,172.99,172.99,172.99,204
2021-11-11,173.76,173.77,173.76,173.77,300
2021-11-11,173.72,173.72,173.72,173.72,100
2021-11-11,173.64,173.64,173.64,173.64,217
2021-11-11,173.64,173.64,173.64,173.64,100
2021-11-11,173.61,173.61,173.61,173.61,200
2021-11-11,173.66,173.66,173.64,173.64,423
2021-11-11,173.58,173.58,173.51,173.51,590
2021-11-11,173.49,173.49,173.49,173.49,100
2021-11-11,173.475,173.475,173.465,173.465,409
2021-11-11,173.465,173.495,173.465,173.495,300
2021-11-11,173.59,173.59,173.59,173.59,103
2021-11-11,173.62,173.62,173.62,173.62,100
2021-11-11,173.52,173.52,173.52,173.52,300
2021-11-11,173.465,173.49,173.465,173.49,650
2021-11-11,173.46,173.46,173.46,173.46,144
2021-11-11,173.46,173.49,173.46,173.49,300
2021-11-11,173.5,173.5,173.5,173.5,475
2021-11-11,173.54,173.54,173.5,173.5,1314
2021-11-11,173.495,173.495,173.495,173.495,100
2021-11-11,173.51,173.51,173.5,173.5,2623
2021-11-11,173.54,173.54,173.54,173.54,100
2021-11-11,173.52,173.52,173.52,173.52,100
2021-11-11,173.52,173.52,173.52,173.52,100
2021-11-11,173.505,173.505,173.505,173.505,100
2021-11-11,173.51,173.51,173.51,173.51,300
2021-11-11,173.38,173.38,173.38,173.38,100
2021-11-11,173.46,173.46,173.46,173.46,205
2021-11-11,173.47,173.47,173.47,173.47,119
2021-11-11,173.68,173.68,173.68,173.68,100
2021-11-11,173.685,173.685,173.685,173.685,100
2021-11-11,173.68,173.68,173.68,173.68,106
2021-11-11,173.59,173.59,173.59,173.59,130
2021-11-11,173.56,173.56,173.56,173.56,107
