Date,Open,High,Low,Close,Volume,OpenInterest,sma
2017-11-22,1141.0,1160.27,1141.0,1156.16,2438232,0.0,0.0
2017-11-24,1160.7,1186.84,1160.7,1186.41,2303646,0.0,0.0
2017-11-27,1202.66,1213.41,1191.15,1195.62,4493368,0.0,0.0
2017-11-28,1204.6,1205.34,1188.52,1193.6,2980162,0.0,0.0
2017-11-29,1194.8,1194.8,1145.19,1161.21,6484713,0.0,0.0
2017-11-30,1167.1,1178.57,1160.0,1176.59,2669924,0.0,0.0
2017-12-01,1172.05,1179.65,1152.0,1161.83,2674294,0.0,0.0
2017-12-04,1173.85,1175.2,1128.0,1133.95,4091385,0.0,0.0
2017-12-05,1128.25,1159.27,1124.74,1141.58,2793610,0.0,0.0
2017-12-06,1138.58,1155.89,1136.08,1152.94,1827873,0.0,0.0
2017-12-07,1156.59,1163.19,1151.0,1160.0,1593509,0.0,0.0
2017-12-08,1170.4,1172.79,1157.1,1161.99,1901497,0.0,0.0
2017-12-11,1164.6,1169.9,1157.0,1169.15,1434643,0.0,0.0
2017-12-12,1166.51,1173.6,1161.61,1165.56,1418735,0.0,0.0
2017-12-13,1170.0,1170.87,1160.27,1164.48,1588655,0.0,0.0
2017-12-14,1163.71,1177.93,1162.45,1175.06,2069320,0.0,0.0
2017-12-15,1177.85,1182.75,1169.33,1178.98,2640567,0.0,0.0
2017-12-18,1187.37,1194.78,1180.91,1190.8,1774701,0.0,0.0
2017-12-19,1189.15,1192.97,1179.14,1187.43,1615743,0.0,0.0
2017-12-20,1190.8,1191.0,1176.0,1177.29,1396963,0.0,0.0
2017-12-21,1175.9,1179.17,1167.64,1174.87,1274624,0.0,0.0
2017-12-22,1172.08,1174.62,1167.83,1168.33,991630,0.0,0.0
2017-12-26,1168.94,1178.32,1160.55,1176.94,1310412,0.0,0.0
2017-12-27,1180.74,1187.29,1175.61,1181.81,1168757,0.0,0.0
2017-12-28,1189.0,1190.1,1184.38,1185.99,1170447,0.0,0.0
2017-12-29,1182.35,1184.0,1167.5,1169.54,1471584,0.0,0.0
2018-01-02,1172.0,1190.0,1170.51,1189.0,1615329,0.0,0.0
2018-01-03,1188.3,1205.49,1188.3,1202.74,1979510,0.0,0.0
2018-01-04,1207.52,1215.87,1204.66,1209.64,1918318,0.0,0.0
2018-01-05,1217.51,1229.14,1210.0,1229.07,2134446,0.0,0.0
2018-01-08,1236.0,1253.08,1232.03,1246.95,2621390,0.0,0.0
2018-01-09,1256.9,1259.33,1241.76,1253.12,2333547,0.0,0.0
2018-01-10,1245.15,1254.29,1237.23,1254.29,1713349,0.0,0.0
2018-01-11,1259.74,1276.77,1256.46,1276.77,2083299,0.0,0.0
2018-01-12,1274.96,1305.76,1273.39,1305.2,3514773,0.0,0.0
2018-01-16,1322.5,1339.94,1292.3,1305.16,4832848,0.0,0.0
2018-01-17,1312.24,1314.0,1280.88,1295.0,3480712,0.0,0.0
2018-01-18,1293.95,1304.6,1284.02,1293.22,2633180,0.0,0.0
2018-01-19,1309.79,1313.0,1292.99,1294.58,2811549,0.0,0.0
2018-01-22,1297.17,1327.45,1296.66,1327.45,2465047,0.0,0.0
2018-01-23,1337.28,1364.9,1337.28,1363.05,3025423,0.0,0.0
2018-01-24,1374.82,1388.16,1338.0,1357.51,4349398,0.0,0.0
2018-01-25,1368.0,1378.34,1357.62,1377.31,3087991,0.0,0.0
2018-01-26,1392.01,1402.53,1380.91,1401.19,2737778,0.0,0.0
2018-01-29,1409.18,1431.39,1400.44,1417.68,3468500,0.0,0.0
2018-01-30,1403.5,1439.25,1392.0,1438.19,3612579,0.0,0.0
2018-01-31,1451.3,1472.58,1450.04,1451.39,3921711,0.0,0.0
2018-02-01,1445.0,1459.88,1385.14,1388.71,4839431,0.0,0.0
2018-02-02,1477.36,1498.0,1414.0,1429.87,7078215,0.0,0.0
2018-02-05,1402.62,1458.98,1320.72,1390.0,7078423,0.0,1242.9040000000002
2018-02-06,1361.46,1443.99,1351.79,1442.84,6700703,0.0,1248.6376
